ID,R,P,A,CC,VC
26.631419537966654,2.2685875555032813,0,31.208445583380403,12,6
23.04189424642382,3.3443664710495025,0,85.16667472728034,16,5
23.913867845710314,2.501931722042056,0,83.85500488114803,18,7
32.4426620273904,3.4331717767801875,1,65.50074987641577,8,4
27.477759842163888,3.1259682647849725,0,70.56480971317627,18,4
25.953124933402,3.221169450393028,0,78.78173787153561,12,4
24.2748039050487,6.52950121628006,0,60.61202934682158,10,4
30.746056676615176,3.5239738639738487,0,64.22224949383852,14,4
20.84812798518734,5.651552325684159,0,78.98293494333753,12,4
29.328507805436924,2.125511372004681,0,30.91080778588017,12,6
26.250780542742877,2.643501034930814,0,59.510446708807635,14,6
32.62769314570917,3.3043590458131424,0,69.08493507576381,21,5
34.30308284828948,3.7456473358890605,0,57.47466015986815,19,7
35.04548561779588,2.0168339883028183,1,89.89312803419264,21,4
20.357191576395316,3.037868568111947,1,82.46869781567186,18,5
35.19804156251042,2.286410625071433,0,30.617885881949615,19,5
31.333028944771716,2.3762632840790614,0,70.71183893517824,17,4
35.09567118223675,3.198843649501124,0,59.61661217875884,19,8
35.48198601910291,2.0877747758400065,1,81.03574518704937,20,4
28.84121791575287,4.199459430661408,0,50.88088984637733,14,5
26.425006859105938,4.25041255927473,0,84.46982940558979,17,7
33.923374867127535,3.655299013849687,1,75.71161012816339,8,4
29.84636611882867,2.1854254744693047,0,58.06333689142047,15,4
20.201294076998593,5.002328907596627,0,64.32173935357267,11,4
27.2957077505098,3.5020628912512053,0,37.86527746156876,15,6
34.85765796565452,6.986501687472655,0,47.699994814967184,10,4
25.24677745070708,2.9456918545649895,0,87.44796550322326,14,4
30.183716070910606,4.005475151552958,1,80.43902920066868,9,4
26.985191895701163,2.737934880027246,0,44.297186843080105,15,6
32.975326001086884,3.084042187456987,0,77.28929289891262,19,8
36.34577915123889,2.9891023634356375,0,30.286766089444633,21,5
26.369652581560715,3.9773114317688743,0,55.03238028528921,18,6
21.819746653204003,2.7130880821689494,0,86.33667649641251,16,7
37.03996505631342,2.1925919715120323,0,70.23472015026809,20,8
34.40437208929609,3.173789308834088,0,69.48990777826864,17,4
23.066670085445256,2.356070990803495,1,72.1980069109384,17,6
30.937164858388748,3.5972000074071104,1,82.97031657791761,8,4
33.693226311108035,6.395570323272688,1,78.150861869844,9,4
33.34853992645303,3.4239682831853915,0,36.11907754736473,14,4
25.622855346465265,3.044729687218541,1,84.73259594962721,21,4
